job_id,job_title,job_language
87,Front-end,"['Kotlin', 'Swift (iOS)', 'bdd', 'Git', 'Swift (iOS)', 'Java (Android)', 'CSS3', 'JavaScript', 'JavaScript', 'Node.js', 'CSS3', 'JavaScript', 'CSS3', 'JavaScript', 'JavaScript', 'React']"
88,Full-stack,"['Kotlin', 'Swift (iOS)', 'bdd', 'Git', 'Swift (iOS)', 'Java (Android)', 'CSS3', 'JavaScript', 'JavaScript', 'Node.js', 'CSS3', 'JavaScript', 'CSS3', 'JavaScript', 'JavaScript', 'React']"
89,Front-end,"['Kotlin', 'Swift (iOS)', 'bdd', 'Git', 'Swift (iOS)', 'Java (Android)', 'CSS3', 'JavaScript', 'JavaScript', 'Node.js', 'CSS3', 'JavaScript', 'CSS3', 'JavaScript', 'JavaScript', 'React']"
90,Front-end,"['Kotlin', 'Swift (iOS)', 'bdd', 'Git', 'Swift (iOS)', 'Java (Android)', 'CSS3', 'JavaScript', 'JavaScript', 'Node.js', 'CSS3', 'JavaScript', 'CSS3', 'JavaScript', 'JavaScript', 'React']"
91,Mobile,"['Kotlin', 'Swift (iOS)', 'bdd', 'Git', 'Swift (iOS)', 'Java (Android)', 'CSS3', 'JavaScript', 'JavaScript', 'Node.js', 'CSS3', 'JavaScript', 'CSS3', 'JavaScript', 'JavaScript', 'React']"
92,Mobile,"['Kotlin', 'Swift (iOS)', 'bdd', 'Git', 'Swift (iOS)', 'Java (Android)', 'CSS3', 'JavaScript', 'JavaScript', 'Node.js', 'CSS3', 'JavaScript', 'CSS3', 'JavaScript', 'JavaScript', 'React']"
93,Full-stack,"['Kotlin', 'Swift (iOS)', 'bdd', 'Git', 'Swift (iOS)', 'Java (Android)', 'CSS3', 'JavaScript', 'JavaScript', 'Node.js', 'CSS3', 'JavaScript', 'CSS3', 'JavaScript', 'JavaScript', 'React']"
94,Mobile,"['Kotlin', 'Swift (iOS)', 'bdd', 'Git', 'Swift (iOS)', 'Java (Android)', 'CSS3', 'JavaScript', 'JavaScript', 'Node.js', 'CSS3', 'JavaScript', 'CSS3', 'JavaScript', 'JavaScript', 'React']"
95,Mobile,"['Kotlin', 'Swift (iOS)', 'bdd', 'Git', 'Swift (iOS)', 'Java (Android)', 'CSS3', 'JavaScript', 'JavaScript', 'Node.js', 'CSS3', 'JavaScript', 'CSS3', 'JavaScript', 'JavaScript', 'React']"
96,Front-end,"['Kotlin', 'Swift (iOS)', 'bdd', 'Git', 'Swift (iOS)', 'Java (Android)', 'CSS3', 'JavaScript', 'JavaScript', 'Node.js', 'CSS3', 'JavaScript', 'CSS3', 'JavaScript', 'JavaScript', 'React']"
97,Full-stack,"['Kotlin', 'Swift (iOS)', 'bdd', 'Git', 'Swift (iOS)', 'Java (Android)', 'CSS3', 'JavaScript', 'JavaScript', 'Node.js', 'CSS3', 'JavaScript', 'CSS3', 'JavaScript', 'JavaScript', 'React']"
98,Front-end,"['Kotlin', 'Swift (iOS)', 'bdd', 'Git', 'Swift (iOS)', 'Java (Android)', 'CSS3', 'JavaScript', 'JavaScript', 'Node.js', 'CSS3', 'JavaScript', 'CSS3', 'JavaScript', 'JavaScript', 'React']"
99,Front-end,"['Kotlin', 'Swift (iOS)', 'bdd', 'Git', 'Swift (iOS)', 'Java (Android)', 'CSS3', 'JavaScript', 'JavaScript', 'Node.js', 'CSS3', 'JavaScript', 'CSS3', 'JavaScript', 'JavaScript', 'React']"
100,Mobile,"['Kotlin', 'Swift (iOS)', 'bdd', 'Git', 'Swift (iOS)', 'Java (Android)', 'CSS3', 'JavaScript', 'JavaScript', 'Node.js', 'CSS3', 'JavaScript', 'CSS3', 'JavaScript', 'JavaScript', 'React']"
101,Mobile,"['Kotlin', 'Swift (iOS)', 'bdd', 'Git', 'Swift (iOS)', 'Java (Android)', 'CSS3', 'JavaScript', 'JavaScript', 'Node.js', 'CSS3', 'JavaScript', 'CSS3', 'JavaScript', 'JavaScript', 'React']"
